TITLE = Problem9-4elem

ELEMENTS = 4
1 1 2 5   1.50000000    0.00000000
2 6 5 2   1.50000000    0.00000000
3 5 6 3   1.50000000    0.00000000
4 4 3 6   1.50000000    0.00000000

NODE_COORDINATES = 6
1   0.00000000    0.00000000
2   0.40000000    0.00000000
3   0.00000000    0.60000000
4   0.40000000    0.60000000
5   0.00000000    0.30000000
6   0.40000000    0.30000000

NODES_WITH_PRESCRIBED_TEMPERATURE = 4
1 180.00000000
2 180.00000000
3 180.00000000
4 180.00000000

EDGES_WITH_PRESCRIBED_CONVECTION = 2
2 6  50.00000000   20.00000000
6 4  50.00000000   20.00000000
